name,surname,fathername,department,email,hashed_password,dateofbirth,sex,role,is_active,is_superuser,is_verified
Daniel,Rogers,Christopher,Департамент B,mariah03@example.net,$2b$12$g9cLoy9YD2b8irElmmo0meDAifBkGS0mjyIRsb6pRmL59Wdc5Hu3a,1995-09-13,м,специалист по обслуживанию,True,False,False
Cindy,Bishop,Robert,Департамент A,ojohnson@example.net,$2b$12$VKkhOLqyQdIzvmRRoYBrtuyGFrBUu8OGdvC7MT2AAH3x7FnoQjW52,1965-05-21,ж,оператор производства,True,False,False
Andrea,Moore,Jennifer,Департамент A,kimheather@example.net,$2b$12$BUViTARuGsqC64hHNP4mreL2Q.lPhu624rrrytBqxTpK.xm4NeHje,1990-10-07,м,оператор производства,True,False,False
Madison,Young,Brandon,Департамент A,christopher20@example.org,$2b$12$xaV62jRoU3D5CBPj9urE1uGb0IvJpcoa8ccWfh/CWoZQMhZsDAxK6,1984-01-28,ж,оператор производства,True,False,False
Charles,Barry,Ashley,Департамент C,yjohnson@example.net,$2b$12$HkC.MofIQYlNQ8fQVoHGLevGeeHy.SrCj6ySFXt8hmzyVbX5GH0Zm,1967-10-20,м,оператор производства,True,False,False
Bradley,Smith,Rebecca,Департамент C,emartinez@example.org,$2b$12$.TtH7DIpPdLP3xBqo765Te4N2s0AqrDjIJmmkeGeMt9sbSWN9/DZq,1971-05-02,ж,специалист по обслуживанию,True,False,False
Jennifer,Wagner,Melanie,Департамент B,jennifer44@example.com,$2b$12$ZsG/bHd5GTck2xZSdOrDVeg4yNGVPc/ut3355.cvWg/b3rzuKMokG,1967-08-03,ж,администратор,True,False,False
Brianna,Ayala,Joseph,Департамент C,julie70@example.com,$2b$12$RikQSTcjlmzT3djECyqX7u6rG9ln.nivwlHhak4YxB2jd5Tpo9l6y,1973-06-25,ж,специалист по обслуживанию,True,False,False
Parker,Griffith,Patricia,Департамент B,psmith@example.net,$2b$12$KVgcl3ZNaug4w5VpEjRvxO1jLSSwyRL1m83X8n651RDnb8PXBpygC,1972-06-06,м,специалист по обслуживанию,True,False,False
Thomas,Cole,Donna,Департамент B,michellechapman@example.com,$2b$12$sGPsKIsh3Mfaf9SnHHp.cOdcNRrV3Prfs1ilVrhQapz5pCsCaYH76,1984-05-04,м,оператор производства,True,False,False
Veronica,Armstrong,Ronald,Департамент A,david09@example.org,$2b$12$m44VzvZipF.WOFeQirfRxevIKiQKgkLUm8XkV/3aAyzfCj3bGr/GC,1971-11-30,ж,специалист по обслуживанию,True,False,False
Clayton,Sullivan,Kimberly,Департамент C,iwhitaker@example.com,$2b$12$1X2srMPUJMb.oFyneTUbCOvYtSHZ4WGuTFhdEMDyzATQiwKue8L5C,1996-10-25,м,специалист по обслуживанию,True,False,False
Katie,Young,Janice,Департамент C,bryanshepherd@example.com,$2b$12$SjXp.r7xoxIEBRWqU1XQNOaIVDC0xUYVHnXQcB7txiohdJ1BtMily,1988-01-21,ж,специалист по обслуживанию,True,False,False
Melissa,Murphy,Alicia,Департамент C,karenryan@example.com,$2b$12$Np6AEpGYe9mn46W/CAFHUOkeblFCtO6ByYox00GDCwlv5BF1qZIQ.,1999-06-25,ж,специалист по обслуживанию,True,False,False
Danielle,Bernard,Troy,Департамент A,xterry@example.org,$2b$12$5.Ljw1VD43xlztSfciaNeOVMx.NjoV7PCDoHEy3mKLuvbWDs/sDB.,1970-10-17,м,специалист по обслуживанию,True,False,False
Jessica,Smith,Justin,Департамент B,taylorbrianna@example.org,$2b$12$6KsckMoxMQudh2K8fURdPOi.g3Cpg/GwxuzVq.aHxEg0tV7RgNawy,1966-06-16,м,администратор,True,False,False
Emily,Martinez,Pamela,Департамент C,adrianagarrison@example.com,$2b$12$LkijkIfkmkNFrDYDQx2r8OV9EEFDompkXzZX9dKbqDxdE4BCpoSa2,1970-07-15,ж,оператор производства,True,False,False
Mary,Braun,Jared,Департамент C,pattersonmichael@example.com,$2b$12$aDoMiwkfWZZV2UsKc4SoKONWaMIklB3fzMWmFjMMZtD6VhIqtrCe6,1965-02-09,ж,специалист по обслуживанию,True,False,False
Steven,Boone,Ruben,Департамент B,matthewstewart@example.org,$2b$12$D/UHhnQ8p/.b8EuJT6TMvO0NgS9Y8WcmUZu3jAV8YQAssB5BCHeDO,1995-12-24,м,оператор производства,True,False,False
Nicholas,Gonzalez,Patrick,Департамент C,christopherhall@example.net,$2b$12$yaC7MtIvxs94ZalqRzeC3uo4F94iRLxysqCavbGAr0zmoX2taf51G,1969-06-17,м,оператор производства,True,False,False
Nicole,Shepherd,Anita,Департамент A,stephenbenson@example.org,$2b$12$Pt2WKfHneSEXdArsX4miquiu2PZKkCKFraNJh3ktp.nfxIj5QB7AO,1982-02-11,ж,специалист по обслуживанию,True,False,False
